iter	MultiClass
0	1.796302586
1	1.689458043
2	1.642889901
3	1.602505649
4	1.57178538
5	1.552266483
6	1.528653177
7	1.512874753
8	1.491074356
9	1.477601097
10	1.466811994
11	1.454999173
12	1.445122619
13	1.43689488
14	1.426454754
15	1.418638094
16	1.409968056
17	1.402762872
18	1.395893286
19	1.387418428
20	1.377413251
21	1.36837
22	1.361478793
23	1.353046524
24	1.347453792
25	1.342759213
26	1.336977472
27	1.33252974
28	1.327691183
29	1.323977064
30	1.318594081
31	1.313165808
32	1.308372858
33	1.305275741
34	1.301892557
35	1.297150229
36	1.293691961
37	1.290500421
38	1.286583651
39	1.28307697
40	1.279793056
41	1.274869787
42	1.272703466
43	1.269454005
44	1.265835535
45	1.263029304
46	1.25952897
47	1.256373594
48	1.253962182
49	1.25029151
50	1.248045311
51	1.244537396
52	1.242555917
53	1.240227474
54	1.23682974
55	1.235248255
56	1.23283351
57	1.230420421
58	1.229376781
59	1.226713056
60	1.225194168
61	1.222120891
62	1.219656694
63	1.217672194
64	1.216093106
65	1.214532248
66	1.213411867
67	1.211111041
68	1.209991104
69	1.207563587
70	1.204414863
71	1.202457689
72	1.200864545
73	1.197744528
74	1.196084855
75	1.195072728
76	1.193247025
77	1.19216763
78	1.190108715
79	1.187909785
80	1.186297298
81	1.184903836
82	1.183115409
83	1.181747883
84	1.180125263
85	1.177407925
86	1.175967115
87	1.174685487
88	1.172877117
89	1.172170955
90	1.170994753
91	1.169491118
92	1.168390721
93	1.166840873
94	1.165703491
95	1.164847777
96	1.16412396
97	1.163533022
98	1.162228209
99	1.161354005
100	1.159153468
101	1.158462255
102	1.155673008
103	1.153624947
104	1.152396419
105	1.151087178
106	1.150573963
107	1.148416173
108	1.14735478
109	1.146509536
110	1.145512787
111	1.144572363
112	1.143680969
113	1.142615
114	1.140996494
115	1.139625115
116	1.138990241
117	1.137193507
118	1.136133671
119	1.135837163
120	1.134403741
121	1.133514447
122	1.132804755
123	1.131751084
124	1.129708441
125	1.128923413
126	1.127792245
127	1.127399813
128	1.127078186
129	1.126642383
130	1.125967607
131	1.125135642
132	1.12476365
133	1.123754393
134	1.123044618
135	1.122649729
136	1.121473009
137	1.120700126
138	1.120302134
139	1.119483727
140	1.118531043
141	1.117545498
142	1.116159141
143	1.11566282
144	1.114536122
145	1.114356844
146	1.11366255
147	1.11138707
148	1.11025836
149	1.10917006
150	1.108782286
151	1.108256223
152	1.107432621
153	1.106393601
154	1.105241887
155	1.104673111
156	1.10364161
157	1.10294
158	1.102438984
159	1.101842422
160	1.101480118
161	1.100423205
162	1.100047609
163	1.099034915
164	1.098795413
165	1.098453285
166	1.097156837
167	1.095936512
168	1.095446058
169	1.094203674
170	1.09323599
171	1.092729818
172	1.092381502
173	1.091790394
174	1.091257742
175	1.090848892
176	1.090328596
177	1.089872238
178	1.089285391
179	1.088727113
180	1.087954669
181	1.087176651
182	1.086313058
183	1.08584254
184	1.085374526
185	1.084327369
186	1.083859272
187	1.082857342
188	1.082019419
189	1.081420354
190	1.080314797
191	1.079543721
192	1.078880253
193	1.078559586
194	1.07794882
195	1.077385337
196	1.077070969
197	1.07657134
198	1.075775728
199	1.075623739
200	1.074938257
201	1.074550395
202	1.074029201
203	1.073635198
204	1.073336982
205	1.072906762
206	1.072517975
207	1.072230829
208	1.071805146
209	1.071285098
210	1.070570284
211	1.070194187
212	1.069994651
213	1.068833701
214	1.068755839
215	1.067768614
216	1.066222562
217	1.066030788
218	1.065825589
219	1.065217442
220	1.065019469
221	1.064512454
222	1.064123406
223	1.063667419
224	1.063507413
225	1.06332979
226	1.062887896
227	1.062502395
228	1.061707458
229	1.061639863
230	1.061393587
231	1.060977372
232	1.060273129
233	1.059983148
234	1.059853165
235	1.058778547
236	1.058563001
237	1.058332208
238	1.058064231
239	1.057489942
240	1.057356473
241	1.057050833
242	1.056736575
243	1.05638831
244	1.056169821
245	1.055798106
246	1.054242872
247	1.053422928
248	1.052838207
249	1.051726569
250	1.051233561
251	1.050975383
252	1.050121997
253	1.049637393
254	1.048977293
255	1.048592066
256	1.048079997
257	1.047590148
258	1.047345146
259	1.046281471
260	1.045802838
261	1.044717563
262	1.044382516
263	1.043940919
264	1.043367792
265	1.0430108
266	1.042501919
267	1.042417336
268	1.042281516
269	1.041999307
270	1.041290858
271	1.041076547
272	1.040611875
273	1.040183304
274	1.039829201
275	1.039727603
276	1.039527074
277	1.03915455
278	1.038672432
279	1.038402743
280	1.037758128
281	1.037479954
282	1.036855926
283	1.036524345
284	1.035711621
285	1.035290519
286	1.035036787
287	1.034811569
288	1.034579151
289	1.03313212
290	1.032929779
291	1.032280344
292	1.031838423
293	1.031324262
294	1.030913821
295	1.030705413
296	1.030560015
297	1.030451056
298	1.030081478
299	1.029736697
300	1.029496076
301	1.028532343
302	1.028424863
303	1.027968743
304	1.027729734
305	1.027604032
306	1.027291904
307	1.02718189
308	1.026783586
309	1.026578008
310	1.026320718
311	1.026202269
312	1.026054341
313	1.025191798
314	1.024962991
315	1.02432831
316	1.024140116
317	1.02372598
318	1.023078387
319	1.022849499
320	1.022653899
321	1.022346273
322	1.021825041
323	1.021626652
324	1.021457595
325	1.021271977
326	1.020726024
327	1.020514621
328	1.020404229
329	1.020339845
330	1.019980883
331	1.019616555
332	1.019181004
333	1.018930318
334	1.018818763
335	1.018304993
336	1.017683974
337	1.017421592
338	1.01716665
339	1.017090345
340	1.016967244
341	1.016657237
342	1.016531101
343	1.016397632
344	1.015991208
345	1.015679386
346	1.015126089
347	1.014899738
348	1.014227623
349	1.014085139
350	1.013850803
351	1.013725171
352	1.013452296
353	1.01320317
354	1.012925218
355	1.012804267
356	1.012639019
357	1.011605264
358	1.011460571
359	1.01079357
360	1.01057098
361	1.010427612
362	1.010308109
363	1.010207655
364	1.009797754
365	1.009300974
366	1.009057168
367	1.008796777
368	1.008481286
369	1.008277178
370	1.007934823
371	1.007663575
372	1.007293188
373	1.007060309
374	1.006873855
375	1.00668677
376	1.006500365
377	1.006367594
378	1.006247151
379	1.005752523
380	1.005579936
381	1.004842975
382	1.004485576
383	1.004166779
384	1.003802168
385	1.003534485
386	1.003264646
387	1.002932743
388	1.002502228
389	1.002332775
390	1.00217282
391	1.001540164
392	1.001405836
393	1.001041023
394	1.000775986
395	0.9995495307
396	0.9992547209
397	0.9989876655
398	0.9987855649
399	0.9986510515
400	0.9974344336
401	0.997124093
402	0.9965113085
403	0.9962651125
404	0.9961034009
405	0.9958664593
406	0.9957542462
407	0.9955838899
408	0.9953061727
409	0.9949632402
410	0.9947553515
411	0.9945889153
412	0.993997031
413	0.9932076441
414	0.992987197
415	0.9927167558
416	0.9924859395
417	0.991959182
418	0.9917467552
419	0.9910064525
420	0.9907747203
421	0.9905704992
422	0.990248134
423	0.9898247435
424	0.9897340221
425	0.9893856316
426	0.9889838025
427	0.9887379637
428	0.9886481705
429	0.9884402117
430	0.9883044603
431	0.9881600466
432	0.9880625632
433	0.9869668796
434	0.9866946215
435	0.9864128373
436	0.985875689
437	0.9857506053
438	0.9854432691
439	0.9850100254
440	0.9847821576
441	0.9844116511
442	0.9841701733
443	0.9839591273
444	0.9837363245
445	0.9835584893
446	0.9833447318
447	0.983215803
448	0.9829771128
449	0.982838813
450	0.9824371455
451	0.9823230385
452	0.9822435129
453	0.9821128254
454	0.9815437668
455	0.9813886013
456	0.9812377858
457	0.9810807453
458	0.9809128864
459	0.9807370263
460	0.9804835093
461	0.9800968307
462	0.9798878808
463	0.9797495249
464	0.9795385411
465	0.9791100732
466	0.978583917
467	0.9784915256
468	0.9781267705
469	0.977636531
470	0.9772005435
471	0.9770483702
472	0.9769322941
473	0.9767594382
474	0.9766612489
475	0.9763851942
476	0.9760811106
477	0.9759241738
478	0.9753636525
479	0.9752611763
480	0.9748926527
481	0.9747075898
482	0.9746447476
483	0.9743912129
484	0.9741648478
485	0.973619041
486	0.9733844936
487	0.9731522884
488	0.9730680748
489	0.9726409955
490	0.9723484438
491	0.9722141664
492	0.9720449838
493	0.9718894082
494	0.9717665714
495	0.9712653484
496	0.9709078718
497	0.9707451744
498	0.970475262
499	0.9703241725
