iter	Passed	Remaining
0	757	378002
1	1433	357033
2	2111	349857
3	2781	344912
4	3457	342246
5	4130	340080
6	4801	338163
7	5471	336503
8	6141	335041
9	6851	335743
10	7523	334458
11	8192	333160
12	8866	332138
13	9752	338555
14	10433	337362
15	11099	335762
16	11761	334171
17	12432	332923
18	13100	331642
19	13762	330292
20	14427	329094
21	15099	328065
22	15764	326949
23	16454	326341
24	17129	325461
25	17947	327193
26	18832	329921
27	19583	330126
28	20257	329012
29	20921	327768
30	21577	326445
31	22253	325455
32	22926	324447
33	23597	323424
34	24262	322345
35	24928	321302
36	25601	320361
37	26278	319492
38	26971	318812
39	27644	317915
40	28315	316995
41	28978	316007
42	29645	315074
43	30318	314206
44	30985	313298
45	31659	312468
46	32325	311561
47	32997	310729
48	33664	309855
49	34331	308982
50	34997	308113
51	35666	307279
52	36359	306652
53	37041	305935
54	37712	305128
55	38373	304249
56	39037	303398
57	39703	302571
58	40369	301745
59	41031	300898
60	41703	300128
61	42372	299344
62	43039	298544
63	43706	297751
64	44380	297005
65	45039	296169
66	45706	295389
67	46395	294746
68	47070	294020
69	47731	293206
70	48392	292400
71	49052	291590
72	49797	291280
73	50696	291850
74	51516	291925
75	52185	291142
76	52854	290357
77	53524	289583
78	54199	288836
79	54868	288059
80	55536	287282
81	56202	286497
82	56909	285917
83	57577	285144
84	58247	284384
85	58916	283620
86	59578	282828
87	60249	282076
88	60913	281298
89	61578	280522
90	62245	279761
91	62905	278973
92	63568	278197
93	64242	277470
94	64907	276711
95	65573	275956
96	66245	275228
97	66940	274592
98	67613	273867
99	68287	273149
100	68953	272399
101	69617	271644
102	70290	270927
103	70953	270169
104	71614	269407
105	72278	268658
106	72938	267895
107	73604	267156
108	74271	266423
109	74933	265672
110	75601	264945
111	76277	264245
112	76980	263642
113	77643	262897
114	78310	262169
115	78972	261425
116	79636	260689
117	80305	259972
118	80973	259250
119	81645	258543
120	82520	258474
121	83408	258428
122	84092	257747
123	84757	257007
124	85418	256256
125	86084	255521
126	86790	254905
127	87464	254192
128	88136	253477
129	88807	252759
130	89473	252029
131	90143	251308
132	90813	250589
133	91477	249856
134	92147	249140
135	92812	248408
136	93478	247684
137	94145	246961
138	94808	246229
139	95470	245495
140	96135	244770
141	96848	244168
142	97517	243452
143	98181	242726
144	98846	242003
145	99517	241295
146	100178	240564
147	100847	239852
148	101517	239145
149	102186	238434
150	102849	237711
151	103516	236999
152	104186	236292
153	104857	235588
154	105521	234869
155	106193	234170
156	106903	233552
157	107572	232847
158	108240	232137
159	108909	231432
160	109566	230702
161	110230	229986
162	110887	229259
163	111541	228523
164	112211	227823
165	112875	227111
166	113544	226409
167	114360	225999
168	115239	225705
169	115982	225143
170	116692	224513
171	117367	223817
172	118039	223114
173	118705	222401
174	119377	221700
175	120058	221017
176	120731	220317
177	121400	219611
178	122075	218916
179	122739	218202
180	123403	217489
181	124077	216794
182	124745	216088
183	125411	215380
184	126075	214669
185	126779	214026
186	127444	213316
187	128110	212609
188	128773	211897
189	129452	211212
190	130120	210509
191	130778	209790
192	131427	209057
193	132087	208343
194	132735	207611
195	133401	206908
196	134067	206205
197	134738	205510
198	135393	204791
199	136053	204079
200	136747	203420
201	137401	202701
202	138073	202008
203	138726	201289
204	139375	200564
205	140038	199860
206	140707	199165
207	141374	198468
208	142045	197775
209	142708	197073
210	143372	196372
211	144031	195665
212	144699	194970
213	145362	194268
214	146084	193646
215	147008	193288
216	147827	192788
217	148482	192074
218	149145	191369
219	149801	190656
220	150467	189957
221	151134	189258
222	151804	188564
223	152466	187860
224	153137	187167
225	153803	186469
226	154457	185757
227	155115	185049
228	155777	184348
229	156486	183702
230	157153	183005
231	157825	182315
232	158483	181610
233	159139	180902
234	159805	180206
235	160464	179502
236	161128	178805
237	161796	178112
238	162458	177413
239	163114	176707
240	163779	176011
241	164439	175311
242	165102	174614
243	165774	173927
244	166593	173393
245	167250	172689
246	167910	171988
247	168571	171290
248	169232	170591
249	169897	169897
250	170559	169200
251	171224	168506
252	171894	167817
253	172563	167128
254	173224	166431
255	173891	165740
256	174566	165057
257	175235	164368
258	175904	163679
259	176627	163041
260	177296	162352
261	177965	161663
262	178845	161164
263	179728	160666
264	180419	159994
265	181087	159302
266	181744	158601
267	182414	157911
268	183087	157224
269	183756	156533
270	184416	155835
271	185074	155136
272	185741	154444
273	186439	153778
274	187127	153104
275	187796	152414
276	188458	151719
277	189139	151039
278	189797	150341
279	190455	149643
280	191119	148950
281	191782	148257
282	192442	147562
283	193119	146879
284	193778	146183
285	194442	145491
286	195101	144796
287	195761	144102
288	196458	143434
289	197123	142744
290	197792	142057
291	198458	141367
292	199111	140669
293	199767	139972
294	200428	139280
295	201094	138592
296	201758	137902
297	202420	137211
298	203092	136527
299	203755	135837
300	204419	135147
301	205075	134453
